OrderId,MenuItemId
1,7
1,10
1,12
1,15
1,14
1,13
2,2
2,10
2,11
2,10
2,15
2,14
2,13
3,4
3,1
3,6
3,15
3,13
3,14
4,8
4,8
4,8
4,6
4,8
4,6
4,12
4,10
4,11
4,15
4,13
5,4
5,7
5,5
5,1
5,12
5,15
5,13
6,6
6,3
6,1
6,7
6,7
6,5
6,2
6,14
7,6
7,3
7,1
7,7
7,7
7,11
7,10
7,10
7,15
8,7
8,1
8,7
8,9
8,9
8,11
8,10
8,10
8,15
9,9
9,7
9,2
9,10
9,11
9,10
9,15
9,14
9,13
10,3
10,1
10,7
10,4
10,7
10,10
10,10
10,10
10,15
10,13
10,14
11,9
11,5
11,3
11,7
11,1
11,2
11,5
11,8
11,10
12,3
12,8
12,7
12,7
12,6
12,11
12,12
12,12
12,14
12,14
13,9
13,4
13,3
13,5
13,7
13,2
13,12
13,12
13,11
14,4
14,1
14,1
14,5
14,15
14,14
14,13
15,8
15,8
15,8
15,13
15,13
16,8
16,8
16,9
16,1
16,5
16,13
16,14
17,8
17,2
17,2
17,3
17,6
17,3
17,14
17,13
18,3
18,12
18,11
18,10
18,14
19,5
19,5
19,3
19,8
19,8
19,5
19,4
19,1
19,12
19,12
19,12
19,14
20,1
20,6
20,8
20,2
20,6
20,4
20,9
20,12
20,11
20,13
21,1
21,5
21,15
22,8
22,3
22,8
22,12
22,11
22,11
22,13
23,7
23,12
23,10
23,13
24,5
24,3
24,4
24,8
24,9
24,9
24,5
24,10
24,11
24,11
25,8
25,7
25,3
25,3
25,2
25,15
26,2
26,2
26,11
26,11
26,15
26,14
26,13
27,8
27,5
27,4
27,7
27,11
27,15
28,9
28,2
28,11
28,10
28,10
29,1
29,12
29,10
29,13
30,8
30,1
30,10
30,13
31,6
31,15
31,14
31,13
32,1
33,8
33,1
33,2
33,1
33,2
33,10
33,10
33,12
33,15
33,13
33,14
34,2
34,4
34,6
34,4
34,7
34,4
34,7
34,12
34,11
34,15
35,7
35,4
35,2
35,15
36,4
36,4
36,3
36,2
36,2
36,11
36,11
36,12
36,13
37,7
37,9
37,3
37,3
37,5
37,1
37,4
37,11
37,13
38,5
38,11
38,11
38,15
38,13
39,2
39,4
39,8
39,4
39,9
39,15
40,2
40,1
40,9
40,11
40,15
41,4
41,6
41,2
41,14
41,14
42,1
42,9
42,7
42,1
42,12
42,13
42,13
43,6
43,10
43,11
43,15
43,13
44,5
44,12
44,14
45,6
45,4
45,6
45,1
45,14
46,3
46,10
47,1
47,7
47,5
47,15
47,13
47,13
48,2
48,7
48,3
48,14
48,13
49,9
49,6
49,8
49,3
49,8
49,10
49,15
50,5
50,6
50,6
50,3
50,9
50,4
50,2
50,12
50,10
50,12
51,1
51,10
51,10
51,10
51,14
52,4
52,9
52,6
52,4
52,7
52,1
52,9
52,1
52,10
52,12
52,14
52,13
53,8
53,1
53,1
53,3
53,3
53,8
53,5
53,3
53,11
53,11
53,11
53,15
53,14
54,5
54,1
54,8
54,15
55,3
55,2
55,6
55,4
55,1
56,8
56,5
56,4
56,3
56,2
56,5
56,7
56,12
57,5
57,12
57,15
57,14
58,9
58,9
58,9
58,3
58,8
58,1
58,8
58,11
58,15
58,14
59,8
59,11
59,11
60,4
60,7
60,4
60,8
60,8
60,11
60,15
61,6
61,1
61,9
61,4
61,11
61,12
61,15
61,13
61,13
62,1
62,9
62,6
62,4
62,4
62,12
62,12
62,15
62,13
63,7
63,5
63,5
63,2
63,6
63,7
63,5
63,7
63,12
64,1
64,8
64,4
64,3
64,9
64,7
64,4
64,12
64,10
64,11
64,15
64,14
64,13
65,4
65,2
65,2
65,1
65,8
66,9
66,2
66,4
66,7
66,5
66,5
66,8
66,10
66,10
66,12
66,15
67,6
67,4
67,4
67,6
67,1
67,4
67,3
67,12
67,13
67,14
68,9
68,11
68,10
68,15
68,14
68,14
69,6
69,3
69,5
69,9
69,5
69,2
69,3
69,11
69,15
69,14
70,1
70,13
71,1
71,3
71,5
71,4
71,5
71,4
71,1
71,3
71,11
71,10
71,11
72,7
72,7
72,10
72,11
72,13
73,6
73,5
73,2
73,4
74,2
74,5
74,1
74,4
74,8
74,14
75,9
75,7
75,3
75,7
75,5
75,8
75,3
75,8
75,12
75,10
76,2
76,8
76,15
77,1
77,5
77,4
77,6
77,3
77,2
77,15
77,13
78,6
78,1
78,7
78,9
78,2
78,10
78,11
78,12
78,13
78,13
79,9
79,9
79,9
79,2
79,4
79,5
79,1
79,8
79,11
79,11
79,15
79,13
80,6
80,7
80,3
80,2
80,6
80,8
80,6
80,1
80,12
80,10
80,13
81,7
81,11
81,10
81,11
81,15
82,5
82,6
82,9
82,12
82,15
82,14
83,2
83,5
83,11
83,12
83,15
83,13
84,4
84,9
84,11
84,10
84,10
84,15
84,13
84,13
85,2
85,6
85,3
85,9
85,5
85,7
85,4
85,3
85,12
85,12
85,11
85,15
86,6
86,4
86,6
86,8
86,10
86,10
86,10
86,13
87,8
87,9
87,1
87,15
87,13
87,13
88,2
88,6
88,1
88,9
88,13
88,13
89,8
89,5
89,12
89,12
89,15
89,13
89,13
90,5
90,9
90,7
90,5
90,10
90,11
91,5
91,3
91,9
91,12
91,10
91,10
91,15
91,13
92,9
92,6
92,5
92,15
93,7
93,11
93,12
93,11
93,14
93,14
94,3
94,12
94,14
95,6
95,1
95,7
95,6
95,10
95,11
96,7
96,6
96,1
96,3
96,7
96,10
96,12
96,11
96,15
96,13
97,6
97,4
97,5
97,2
97,6
97,10
97,15
97,14
98,9
98,6
98,3
98,4
98,3
98,9
98,5
98,1
98,12
98,11
98,15
98,14
99,1
99,1
99,1
99,9
99,12
99,13
99,14
100,1
100,1
100,12
100,10
100,13
100,14
101,6
101,6
101,1
101,8
101,8
101,4
101,2
101,11
101,12
101,14
101,14
102,4
102,12
102,11
102,11
102,15
103,4
103,3
103,1
103,3
103,12
103,11
104,9
104,4
104,5
104,9
104,6
104,10
104,10
104,13
105,4
105,1
105,2
105,3
105,12
105,10
105,12
106,1
106,4
106,8
106,8
106,2
106,6
106,12
106,15
106,13
107,7
107,7
107,7
107,5
107,10
107,11
107,12
107,13
107,14
108,4
108,8
108,4
108,3
108,9
108,10
108,12
108,11
109,9
109,3
109,1
109,5
109,2
109,5
109,11
109,11
109,15
109,14
110,7
110,2
110,2
110,6
110,1
110,4
110,12
110,12
110,15
111,9
111,6
111,9
111,2
111,3
111,9
111,6
111,5
111,12
111,15
111,13
111,13
112,8
112,5
112,10
112,13
112,13
113,4
113,2
113,9
113,2
113,1
113,7
113,4
113,15
113,14
113,14
114,9
114,9
114,2
114,5
114,10
114,14
115,2
115,4
115,5
115,4
115,11
115,10
115,10
116,8
116,3
116,8
116,3
116,7
116,2
116,13
116,13
117,2
117,3
117,9
117,4
117,9
117,4
117,1
117,8
117,11
117,12
117,10
117,14
117,14
118,6
118,4
118,7
118,6
118,3
118,8
118,12
118,11
118,12
118,14
118,14
119,5
119,7
119,8
119,2
119,3
119,3
119,1
119,9
119,12
119,12
119,10
120,8
120,5
120,9
120,2
120,8
120,1
120,6
120,7
120,12
120,12
120,11
120,15
120,13
120,14
121,5
121,8
121,4
121,8
121,10
121,10
121,14
122,4
122,1
122,5
122,4
122,10
122,11
122,15
122,14
123,4
123,7
123,8
123,11
124,4
124,9
124,15
124,13
124,13
125,3
125,5
125,8
125,6
125,9
125,2
125,2
125,12
125,11
126,9
126,9
126,6
126,6
126,8
126,3
126,5
126,7
126,12
126,15
126,14
126,13
127,2
127,6
127,8
127,2
127,7
127,11
127,11
127,14
127,14
128,7
128,3
128,1
128,1
128,11
128,11
128,14
128,14
129,9
129,5
129,2
129,9
129,6
129,3
129,1
129,10
129,10
129,12
129,15
129,14
130,9
130,10
130,11
130,10
130,14
131,1
131,6
131,6
131,2
131,2
131,9
131,10
131,12
131,15
131,13
131,13
132,1
132,6
132,3
132,2
132,11
132,15
132,13
133,2
133,10
133,12
133,15
134,4
134,9
134,7
134,3
134,7
134,10
134,10
134,15
135,1
135,5
135,4
135,8
135,5
135,7
135,11
136,1
136,7
136,12
136,12
136,10
136,15
136,13
136,14
137,1
137,9
137,5
137,3
137,8
137,1
137,8
137,4
137,10
138,7
138,2
138,7
138,7
138,3
138,11
138,11
138,13
139,5
139,7
139,4
139,1
139,8
139,12
139,11
139,12
139,15
139,14
139,14
140,8
140,6
140,2
140,10
140,11
140,12
140,15
140,13
140,14
141,6
141,6
141,4
141,3
141,8
141,5
141,9
141,5
141,10
141,12
141,11
141,15
142,6
142,2
142,15
143,3
143,9
143,4
143,7
143,8
143,6
143,10
143,12
143,15
143,14
143,14
144,9
144,8
144,4
144,3
144,3
144,6
144,8
144,10
144,15
144,14
145,1
145,2
145,5
145,3
145,1
145,3
145,14
146,1
146,2
146,6
146,15
146,13
147,1
147,6
147,4
147,4
147,15
148,6
148,6
148,1
148,5
148,4
148,6
148,2
148,11
148,10
148,10
148,13
149,5
149,12
150,1
150,9
150,1
150,10
150,11
150,10
150,15
150,13
150,13
151,3
151,2
151,4
151,7
151,1
151,4
151,1
151,8
151,10
152,1
152,3
152,2
152,9
152,6
152,5
152,12
152,12
152,11
152,15
153,9
153,4
153,6
153,11
153,15
153,14
154,1
154,1
154,1
154,6
154,6
154,8
154,11
154,10
154,10
155,8
155,7
155,6
155,1
155,3
155,2
155,12
155,11
155,15
155,14
155,13
156,6
156,4
156,2
156,2
156,10
156,15
156,14
157,2
157,7
157,9
157,13
157,13
158,1
158,1
158,7
158,4
158,2
158,10
158,15
158,14
158,13
159,4
159,2
159,2
159,4
159,4
159,3
159,4
159,5
159,12
159,10
159,11
159,14
160,8
160,1
160,4
160,8
160,1
160,5
160,11
160,10
160,11
160,15
160,14
160,13
161,5
161,7
161,3
161,7
161,2
161,8
161,11
161,11
161,11
162,2
162,1
162,9
162,11
163,5
163,7
163,3
163,6
163,6
163,5
163,2
163,15
164,5
164,1
164,2
164,9
164,6
164,5
164,11
164,15
164,14
164,13
165,4
165,7
165,7
165,9
165,2
165,7
165,1
165,10
165,13
166,1
166,3
166,8
166,2
166,6
166,1
166,6
166,2
166,15
166,13
166,13
167,3
167,8
167,1
167,11
167,11
167,15
167,13
167,14
168,8
168,9
168,15
168,13
168,14
169,6
169,5
169,4
169,8
169,2
169,1
169,15
169,13
170,1
170,11
170,15
170,13
170,14
171,6
171,7
171,15
171,14
172,3
172,10
172,11
172,11
172,15
172,13
173,8
173,12
173,12
173,10
173,14
173,13
174,7
174,9
174,5
174,2
174,11
174,13
174,13
175,8
175,11
175,15
176,2
176,13
176,13
177,3
177,5
177,2
177,12
177,15
178,5
178,8
178,4
178,3
178,1
178,14
179,2
179,5
179,8
179,8
179,4
179,11
179,10
179,12
179,14
180,6
180,9
180,3
180,9
180,2
180,5
180,7
180,10
180,10
180,15
181,4
181,6
181,2
181,10
181,11
181,11
181,15
181,13
181,13
182,6
182,4
182,6
182,7
182,12
182,11
182,15
182,13
183,1
183,11
183,12
183,12
183,13
184,8
184,4
184,4
184,2
184,1
184,11
184,12
184,11
184,15
185,4
185,8
185,10
185,10
186,1
186,9
186,5
186,12
187,1
187,4
187,1
187,5
187,11
187,12
187,15
187,13
188,1
188,1
188,3
188,2
188,14
189,9
189,5
189,7
189,1
189,12
189,15
189,13
189,14
190,2
190,6
190,6
190,2
190,3
190,6
190,12
190,10
190,13
190,14
191,4
191,4
191,9
191,1
191,10
191,14
192,2
192,4
192,11
192,11
192,11
192,15
192,13
193,8
193,15
194,1
194,6
194,8
194,3
194,10
194,10
194,10
195,3
195,6
195,4
195,5
195,4
195,4
195,4
196,8
197,7
197,8
197,6
197,9
197,8
197,2
197,13
198,5
198,8
198,3
198,6
198,5
198,3
198,7
198,11
198,11
198,13
198,13
199,5
199,7
199,4
199,6
199,7
199,9
199,5
199,15
200,3
200,1
200,5
200,2
200,8
200,5
200,3
200,5
200,11
200,10
200,15
200,13
200,14
201,9
201,9
201,4
201,11
201,12
201,12
201,13
202,7
202,1
202,7
202,8
202,6
202,10
202,10
202,14
203,6
203,7
203,3
203,2
203,12
203,14
204,4
204,11
204,15
204,13
205,4
205,3
206,6
206,8
206,9
206,11
206,15
206,13
207,7
207,2
207,6
207,15
207,14
207,13
208,3
208,4
208,15
208,14
209,9
209,4
209,3
209,12
209,10
209,12
209,15
210,8
210,1
210,6
210,4
210,2
210,3
210,9
210,11
210,15
210,13
211,6
211,6
211,7
211,1
211,15
211,13
211,14
212,4
212,8
212,5
212,3
212,9
212,2
212,8
212,11
212,15
212,14
212,14
213,6
213,1
213,8
213,5
213,15
213,14
213,13
214,1
214,2
214,7
214,5
214,5
214,9
214,9
214,14
214,13
215,7
215,6
215,5
215,4
215,4
215,5
215,11
215,12
215,11
216,4
216,3
216,3
216,1
216,12
216,12
216,10
216,15
217,5
217,7
217,5
217,6
217,10
217,12
217,12
217,13
217,13
218,3
218,6
218,5
218,7
218,8
218,10
218,15
218,14
218,14
219,3
219,8
219,1
219,10
219,11
219,13
219,14
220,2
220,3
220,3
220,5
220,6
220,5
220,4
220,12
220,12
220,15
220,14
221,2
221,7
221,13
222,9
222,1
222,2
222,6
222,2
222,3
222,6
222,12
222,10
222,10
222,15
223,8
223,4
223,7
223,6
223,9
223,1
223,1
223,3
223,13
224,6
224,2
224,2
224,3
224,1
224,4
224,15
225,5
225,7
225,8
225,3
225,5
225,12
225,12
225,15
225,13
226,7
226,5
226,1
226,6
226,12
226,11
