OrderId,MenuItemId
1,20
1,21
1,5
1,5
1,22
1,11
1,12
1,11
1,17
2,8
2,1
2,3
2,2
2,4
2,11
2,12
2,10
2,11
2,16
2,17
2,23
2,24
2,13
3,5
3,20
3,6
3,18
3,2
3,18
3,3
3,8
3,11
3,11
3,11
3,10
3,15
3,16
3,13
3,13
4,4
4,12
4,16
4,25
4,25
4,16
5,4
5,4
5,3
5,12
5,12
5,15
6,8
6,22
6,22
6,25
6,25
6,17
6,16
7,4
7,3
7,15
8,1
8,20
8,2
8,2
8,19
8,1
8,20
8,22
8,22
8,15
8,15
8,16
8,25
9,8
9,21
9,5
9,9
9,6
9,21
9,9
9,16
9,15
9,25
9,24
9,13
9,23
10,5
10,6
10,21
10,8
10,7
10,3
10,22
10,12
10,22
10,25
10,16
10,14
11,8
11,1
11,9
11,7
11,3
11,15
11,25
11,16
12,8
12,2
12,12
12,16
12,17
12,15
12,17
12,23
12,13
13,6
13,5
13,17
13,24
13,24
14,6
14,4
14,20
14,19
14,19
14,22
14,12
14,22
15,9
15,9
15,8
15,5
15,25
15,16
15,16
15,25
15,23
16,19
16,4
16,18
16,18
16,18
16,12
16,10
16,12
16,25
16,17
16,16
16,25
16,13
16,24
17,6
17,4
17,4
17,8
17,1
17,2
17,8
17,7
17,22
17,12
17,10
17,11
17,15
17,23
17,24
17,13
18,18
18,21
18,17
18,16
18,16
18,25
18,14
19,8
19,6
19,18
19,21
19,2
19,19
19,2
19,9
19,15
19,15
19,16
19,17
19,13
19,23
20,8
20,18
20,21
20,8
20,20
20,4
20,5
20,21
20,12
20,10
20,16
20,24
20,13
20,24
21,4
21,19
21,18
21,12
21,12
21,22
21,10
21,15
21,23
22,19
22,1
22,17
22,25
22,14
22,23
23,19
23,21
23,19
23,2
23,8
23,11
23,16
23,15
23,16
23,13
24,6
24,4
24,19
24,18
24,10
24,10
24,12
24,14
24,13
24,14
25,1
25,10
25,11
25,10
25,15
26,1
26,12
26,10
26,10
